0,,,,,,Sol,0.0,0.0,0.0,0.0,0.0,0.0,-26.7,4.85,G2V,0.656,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,0,,1.0,,,
676,677,358,15,,21Alp And,Alpheratz,0.139791,29.090432,29.7442,135.68,-162.95,-12.0,2.07,-0.297,B9p,-0.038,25.974572,0.951042,14.461264,-2e-08,1.958e-05,-2.65e-05,0.03659716270801555,0.5077238184659449,6.577952017777778e-07,-7.90003892e-07,Alp,21,And,1,676,,114.49855346901883,Alp,2.083,2.063
744,746,432,21,Gl 8,11Bet Cas,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,F2III-IV,0.38,8.600014,0.344589,14.409503,1.681e-05,4.329e-05,2.39e-06,0.040025852830323276,1.0323584043676326,2.5374663226597225e-06,-8.74700842e-07,Bet,11,Cas,1,744,,30.06076302628229,Bet,2.303,2.263
1065,1067,886,39,,88Gam Peg,Algenib,0.220598,15.183596,120.048,4.7,-8.24,4.0,2.83,-2.567,B2IV,-0.19,115.664183,6.687324,31.442127,5.04e-06,3.03e-06,-3.56e-06,0.05775241337962613,0.2650037404493388,2.2786242986111112e-08,-3.9948647e-08,Gam,88,Peg,1,1065,,926.4031007363994,Gam,2.846,2.816
2076,2081,2261,99,,Alp Phe,Ankaa,0.438056,-42.305981,25.974,232.76,-353.64,75.0,2.4,0.327,K0III...,1.083,19.083654,2.198282,-17.483284,2.323e-05,3.218e-05,-8.456e-05,0.11468290295782503,-0.7383786688321162,1.128452322861111e-06,-1.714495099e-06,Alp,,Phe,1,2076,,64.44659847416881,,,
3172,3179,3712,168,,18Alp Cas,Shedir,0.675116,56.537331,69.979,50.36,-32.17,-4.0,2.24,-1.985,K0II-IIIvar,1.17,37.984817,6.784483,58.379619,3.74e-06,1.802e-05,-9.43e-06,0.17674488133148336,0.9867625763100912,2.4415216952777776e-07,-1.55964561e-07,Alp,18,Cas,1,3172,,542.0008904016238,Alp,2.25,2.23
3413,3419,4128,188,Gl 31,16Bet Cet,Diphda,0.72649,-17.986605,29.5334,232.79,32.71,13.3,2.04,-0.312,K0III,1.019,27.583638,5.310463,-9.119792,7.82e-06,3.545e-05,2.5e-07,0.19019464223046095,-0.31392547040265245,1.1285977669652777e-06,1.58582554e-07,Bet,16,Cet,1,3413,,116.09138701261821,,,
3759,3765,4628,222,Gl 33,,96 G. Psc,0.806382,5.280615,7.4549,758.04,-1141.22,-10.0,5.74,6.378,K2V,0.89,7.258368,1.555495,0.686093,-1.198e-05,2.545e-05,-4.201e-05,0.21111031896421073,0.09216411608150625,3.675081624083333e-06,-5.532790685e-06,,,Psc,1,3759,,0.24479356661960658,,,
3820,3829,,,Gl 35,,Van Maanen's Star,0.819416,5.38861,4.2626,1233.05,-2710.56,54.0,12.37,14.222,DG,0.554,4.146957,0.903519,0.400348,5.345e-05,3.772e-05,-5.057e-05,0.21452251445702078,0.09404897880013376,5.977995088090278e-06,-1.3141165699e-05,,,,1,3820,,0.00017831997722329162,,12.621,12.091
4417,4427,5394,264,,27Gam Cas,Cih,0.945143,60.71674,168.3502,25.65,-3.82,-7.0,2.15,-3.981,B0IV:evar,-0.046,79.836717,20.168018,146.837047,-5.89e-06,2.01e-05,-7.77e-06,0.2474379511037043,1.0597070289510324,1.243547090625e-07,-1.8519882e-08,Gam,27,Cas,1,4417,,3407.218616593573,Gam,2.173,2.133
5436,5447,6860,337,Gl 53.3,43Bet And,Mirach,1.162194,35.620558,60.5327,175.59,-112.23,-0.8,2.07,-1.84,M0IIIvar,1.576,46.946371,14.741814,35.255129,2.23e-06,5.471e-05,-2.725e-05,0.30426179273798976,0.6216960120690613,8.512843416875e-07,-5.44106393e-07,Bet,43,And,1,5436,,474.2419852602448,,,
